ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
7.036752104,183.521107,20461.25271,7.333212178,333.1194759,356.3690224,20.17902887,67.01990322,4.886633785,0
6.643158712,188.9135411,32873.82002,6.791509363,333.8488419,336.561501,14.70681031,67.84484886,4.562197671,1
7.846057926,224.0588768,23264.10997,5.922367041,300.4026201,387.9713358,13.40673745,43.07518647,2.487968647,0
7.160467231,183.08931,6743.346066,3.803036424,277.5990986,428.0363444,9.79962469,90.03537367,3.884891044,0
6.615350135,179.2406613,26392.86361,9.309160027,333.0735457,496.3635615,12.78659537,78.26236862,4.453443265,1
13.17540172,47.432,19237.94968,8.907019729,375.1473148,500.2459518,12.08389565,66.6224851,4.10692449,1
5.499489286,230.3087747,13902.96865,9.619574961,352.0843328,442.1670062,14.74078711,66.6224851,5.846826958,0
11.23542596,178.5964959,33773.10706,9.063042096,327.6509604,425.8680392,17.98625524,58.98665173,5.147055276,0
7.036752104,139.3311518,2912.211247,10.33823398,343.3180208,532.8851961,11.07834122,42.17282405,4.093097749,0
7.036752104,233.8466208,32496.64022,6.637384365,347.9864477,424.6497728,13.02799983,55.98397317,4.296188763,0
8.394397412,187.6434114,10603.09802,7.840260507,352.8356398,376.2411457,13.3748312,58.95000171,2.83390143,0
7.714312672,191.6926397,19789.63608,7.856556902,340.3263144,377.9263683,18.91702672,58.69220411,4.42513397,1
7.417823927,243.304691,320.9426113,4.598669852,336.0979811,361.1017694,20.42147204,87.05257595,3.470812079,0
6.350290472,190.3837378,14905.39385,5.537830157,333.0735457,446.8406051,13.98356664,67.81709624,4.265233067,1
9.159660477,195.4233158,16679.33516,10.11046223,301.7464106,404.6591027,5.196716755,55.46675876,5.452362325,1
4.1502143,174.9267412,41489.63981,5.569868658,333.0735457,425.2500465,12.53400873,86.68363454,3.502370872,0
7.197795992,168.6409754,12763.26789,6.89759414,333.0735457,566.2506937,12.43757097,65.74671735,3.844013287,0
5.198067643,200.4644449,37200.24206,7.401099401,311.7948866,573.1355324,17.23865591,74.94821697,3.295033859,0
7.240351006,201.9971958,14462.67431,6.73717605,314.0431372,534.8009878,14.21379446,82.94581671,3.7829719,0
7.116132606,204.0407822,25131.66528,5.402654753,292.3244035,424.0034993,12.83670966,55.40458673,3.915381678,1
6.380717315,266.0154103,21250.93563,4.854334534,357.2410268,358.1854729,27.00670661,59.93778492,4.532019663,0
7.86978187,184.0661691,18608.6563,7.411034745,333.0735457,364.5776035,17.58072563,0.738,4.219575578,0
8.127710424,203.0703085,13227.05238,6.310902368,362.275707,409.7422238,18.27727726,78.92957895,4.244173211,0
5.152203722,207.2992598,27000.10688,6.691806012,333.0735457,350.0049779,12.49050929,49.85296456,4.689842818,0
7.894322783,176.319304,11697.60697,8.19810571,376.7839891,383.0191013,12.67748794,57.28026549,2.865031443,0
8.313773604,196.5476964,11310.95831,5.31081523,364.4050673,607.9158477,8.457141855,76.69457951,4.290071516,0
7.868147086,199.035973,20434.10574,6.210993674,337.9160908,549.4149828,16.50157842,66.6224851,4.315898406,0
9.318613916,317.3381241,24497.87394,7.597451675,357.1672168,476.5103845,12.03237711,68.59982979,4.642719286,1
7.036752104,205.6387903,39742.97033,4.660528471,323.9564921,509.5464193,11.67484982,55.04267885,3.916745527,0
7.036752104,165.7402292,19919.32459,7.278151486,351.9650538,420.1207129,17.7760534,46.00234038,3.428095926,0
10.20142576,190.799079,8918.8926,4.89987481,306.4953695,331.3789519,18.52543363,68.54744754,3.964449588,0
6.968131313,205.9825819,19207.31177,7.285997694,283.4785554,459.1766823,17.91696373,50.87882036,3.030823583,0
7.036752104,168.9630259,21030.23453,5.564002471,404.3430765,440.9520714,12.35272154,72.03364436,4.691017503,0
8.167792632,200.9137547,27141.3629,7.262416639,344.1611343,525.5987875,16.142284,66.23143554,4.289395484,0
7.480728114,117.0573145,28357.94277,4.70282091,414.855784,472.0593394,18.34021208,76.34458147,3.714874787,0
7.603775446,214.682778,11459.62244,10.99999516,398.9208686,321.0690741,12.01067596,58.10070667,3.584985024,1
7.521920636,198.3546264,20139.43035,7.177654989,333.0735457,603.0549559,13.77360984,84.81677108,3.110932391,0
9.02678772,253.2170742,27965.07215,6.588374366,373.5532353,588.3196505,16.14573205,59.12445085,2.019042018,0
6.980061939,164.1271804,17625.46641,6.479557844,372.7483191,492.7034162,11.66575309,48.71029322,3.969463254,0
7.036752104,164.9090723,32768.22797,6.309685173,285.5609833,527.198675,15.84330317,59.72817293,3.499453074,1
7.042793877,194.0467188,16733.1241,7.701926489,350.243966,504.9254661,19.70342153,82.25345355,3.965647067,0
9.54025224,224.0545823,31683.86459,11.99429022,315.359085,493.836379,19.09359914,81.39372182,3.329503899,1
4.296247024,278.1475241,19672.48721,4.955218159,414.6367262,330.067379,11.29318661,70.66553966,4.163328982,1
7.181448581,209.6256005,15196.22999,5.994678646,338.3364311,342.1112863,7.922598333,71.53795326,5.088859989,0
7.762020745,173.636742,15548.41667,5.018671102,330.3909763,520.6407738,11.14770411,87.4815046,3.256301329,0
7.036752104,173.4741859,18318.72037,7.597653599,282.5981192,407.6429623,20.20059242,79.1040188,4.181264106,1
5.934279093,223.8581252,23249.65383,4.602849948,333.0735457,277.3845373,11.36686342,66.62394365,5.217895024,1
6.089430846,207.2671327,11339.16605,8.888347449,317.2791232,531.7689878,11.67431809,48.35824968,4.366860919,0
5.467401255,197.0289262,12883.16353,9.264883097,347.4212659,355.1757122,12.76254632,67.15953241,3.717822718,0
6.465093529,241.2681377,43958.67813,7.420154854,306.0203928,544.6005667,20.76898639,89.64650592,3.790523693,0
7.036752104,214.5936849,22038.51162,6.19962761,294.241392,332.472542,18.46952817,46.04628652,4.238535197,1
9.888941401,220.638823,19892.38891,7.986456362,326.0765603,460.8124249,14.92917215,59.60280779,3.75016351,1
7.036752104,193.4624198,18519.16249,8.021803498,333.0735457,374.3178878,13.74936289,43.74470516,2.676593519,0
6.332386866,186.8380279,23073.06397,8.082003932,326.9804759,233.9079651,9.641441539,60.94002778,5.159001749,1
6.078335837,197.5019119,35957.79218,8.130472208,379.5277063,360.0604774,20.09841289,41.86595951,4.201580906,0
1.844538366,233.7643427,28689.59578,7.7244323,333.0735457,410.3872638,15.6118593,54.29944409,5.013463351,0
5.284096687,185.7054923,26532.73725,6.132545674,328.1395817,543.1817477,17.39846476,47.0663922,4.800963142,0
7.036752104,133.8131148,18272.50597,5.911870512,333.0735457,415.2117346,11.50450612,92.97576168,3.313199022,0
7.755154227,196.7827837,19024.68867,6.911867556,392.8000812,338.4306239,10.77286174,76.61759947,2.728799592,0
7.163999223,203.7815979,34226.07213,9.412034556,320.2589172,415.5775127,16.22104374,90.18420845,3.354322267,0
10.93311072,162.4249185,18846.63491,7.085260756,333.0735457,593.7257641,14.97723325,60.69057995,3.894988624,0
7.036752104,163.2244663,18570.28534,8.109345861,296.1902616,463.7417162,16.90014798,61.34983192,4.135745329,1
7.071314192,213.619625,20038.79642,7.602251874,290.0572188,605.3050414,8.713963616,58.41345969,4.29372656,1
6.652488091,145.0101719,19871.78845,4.96106638,288.0521917,545.9749938,10.94202426,71.72741406,3.742090426,0
8.549692514,236.8615046,17828.29452,4.752267563,341.036337,423.1100797,15.31324277,80.93130521,3.039018779,1
7.488133464,177.3530518,24786.05053,8.613303748,369.2106713,387.8680752,14.1494731,48.96599558,3.474034717,0
9.485832873,218.7382355,15357.83337,8.534458442,315.8313963,429.6222122,15.6211387,64.8260282,3.221129819,1
5.23000319,176.7140234,27971.89181,7.597980583,413.9140005,440.3553738,14.42361413,72.83737021,3.045612106,0
8.197353369,203.1050914,27701.79405,6.472914286,328.8868376,444.6127236,14.25087508,62.90620518,3.361833324,1
5.500276575,263.6831597,19911.2249,4.755312179,366.9427433,435.865696,12.76118448,51.43989388,5.147535911,1
5.669699209,199.6626368,9544.862671,8.808246918,343.485533,378.1203925,21.7803731,80.4882741,1.910116645,0
5.068795502,211.6895022,22781.36453,5.330123052,317.1039028,483.442018,14.49579062,77.21227436,4.362085653,1
8.675192692,200.7359412,15049.5842,8.630380615,356.805465,441.2980876,17.85305375,74.5865113,4.97857536,0
8.922409559,207.5207264,13291.92261,8.560537109,357.9443268,468.5383258,15.69273832,107.2823286,4.081728016,0
7.611609817,222.2522695,25063.68301,8.561123755,287.9481232,505.2654826,18.27375696,68.39541321,2.87326121,0
6.286806948,258.3000516,13777.37619,7.483257698,328.6806496,563.4347751,16.46083688,73.51665351,4.104863275,1
7.174135163,203.4089346,20401.10246,7.681806287,287.0856791,315.5499,14.53351004,74.40561603,3.939895657,1
7.935607325,207.0168521,19657.84331,8.604504846,312.3436071,358.8490033,21.22812724,63.77183269,3.619650737,1
4.292966858,212.8086454,30434.26912,8.630313014,333.4825401,382.922363,15.77992197,39.77551322,2.804923583,0
6.284248242,190.0176486,12206.68121,7.910711202,333.0735457,395.2610634,13.24613956,58.92772621,3.377132289,0
6.792655098,241.7244527,9094.3133,6.435809198,338.5211763,361.1075365,14.50246425,45.4280965,1.917754393,1
6.35943131,208.2030206,23347.17271,9.000395498,333.0735457,336.5856104,14.17390623,66.6224851,3.636494911,1
9.515140615,199.0813173,9082.816175,5.976549511,367.2307922,501.4468337,12.87712332,55.77068996,3.812887661,0
7.499844232,210.9850337,23707.4653,7.148518353,333.0735457,484.8433398,18.0819566,52.96746903,4.454476673,0
6.277742483,149.5632817,15751.44915,8.257751125,317.5014397,605.3983749,15.21837835,82.70347041,5.255011943,1
8.575673022,197.5602828,15888.62521,4.865462912,311.557381,464.7255668,18.73692675,40.22452083,3.506229064,0
4.884388229,136.5577849,28392.42498,8.440399978,333.0735457,386.1040002,13.83187677,73.82455574,3.616700535,0
8.447404488,163.9499045,19583.05735,6.433183888,334.6558859,547.0238303,18.23871124,45.66831799,5.21830711,1
11.02787986,228.3227976,13124.10564,7.516643216,319.3540394,376.2319179,8.03385864,48.52903793,4.178897909,0
9.181560007,273.8138067,24041.32628,6.904989726,398.3505168,477.9746419,13.38734078,71.45736221,4.503660796,0
7.036752104,235.2405873,10443.79653,7.605518818,333.0735457,319.8429301,8.286550373,80.54035147,3.900508521,1
5.497580321,204.6828696,29493.42297,7.604130349,323.6087859,476.8444591,16.6724146,83.41383836,5.060114929,0
7.449659686,193.0420805,32251.35965,6.086599374,337.135046,572.8061429,18.06029824,57.4013371,4.370404422,1
11.39054311,145.3419366,16175.22194,6.613864679,333.0735457,553.4889233,12.09118931,69.73623075,2.277358632,0
7.239415921,211.8728279,13911.82663,8.204071006,345.0439831,494.4169099,15.41647494,32.74561137,4.531825295,0
6.98981377,221.0002353,20769.51964,8.36101866,307.5231588,326.5863598,12.28623693,62.7686154,4.808582691,0
7.038347517,199.5979428,23951.10599,8.229992839,320.4837541,419.6622002,11.96407193,63.92555422,4.575578405,0
7.036752104,185.8467967,14971.94903,6.666342875,346.4861887,418.4535907,18.68421531,67.71245963,5.110414149,0
8.551077748,216.4159321,28909.29028,6.936782341,295.2237067,510.8950007,16.20237144,79.85932286,4.04637969,0
6.742622398,209.2173441,15488.95675,7.452361819,351.0522422,408.8535622,13.92128166,70.2052406,4.96467264,1
7.806909023,216.4731687,21299.31866,6.217597085,333.0735457,524.0797055,13.89563062,83.14699902,5.127910988,1
5.296578804,220.0808324,39537.08646,9.232766062,322.4335918,393.3886033,10.58333615,58.80146948,3.918469801,0
5.085429353,173.5659711,33455.24099,6.033247172,351.271267,507.476249,17.79595745,62.46613537,3.96173067,1
